sequence,mean,worst,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,prob_catastrophic,prob_degraded,prob_shortage,viol_catastrophic,viol_degraded,viol_shortage,violation_score,feasible
noop|reboot_A|reboot_D|reboot_A|reboot_C|reboot_B,129.375,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,140.53980204036452,156.0230505269744,173.2700638394893,185.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_C|reboot_C,153.125,270.0,270.0,270.0,270.0,270.0,270.0,270.0,220.0,245.0,170.31708649669542,195.44246456965953,227.5849293205654,251.25,0.125,0.125,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_C|reboot_D,133.75,270.0,270.0,270.0,270.0,270.0,270.0,270.0,220.0,245.0,152.63147243701206,182.68603239993797,223.2449840401277,251.25,0.0,0.125,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_D|noop,150.875,349.0,349.0,349.0,349.0,348.99999999999994,349.0,348.99999999999994,314.0,331.5,181.80120641768048,228.75390113466085,288.5947332421341,335.87500000000006,0.125,0.25,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_D|reboot_A,137.5,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,167.58676283878268,215.077112344804,275.4480164158687,320.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_D|reboot_B,129.375,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,154.0120347879223,191.43830944015846,237.26630186958505,270.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_D|reboot_C,141.875,320.0,320.0,320.0,320.0,320.0,320.0,320.0,270.0,295.0,168.81771051765335,209.6581707028803,262.0725034199727,301.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_A|reboot_D|reboot_D,156.875,355.0,355.0,355.0,355.0,355.0,355.0,355.0,320.0,337.5,187.80120641768045,234.75390113466085,294.5947332421341,341.875,0.125,0.25,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_B|noop|noop,179.875,293.0,293.0,293.0,293.0,293.0,293.0,293.0,258.0,275.5,200.63988941658758,230.5080869343455,263.7922936616507,279.875,0.5,0.375,0.5,0.25,0.0,0.0,500000.0,False
noop|reboot_A|reboot_D|reboot_B|noop|reboot_A,162.125,299.0,299.0,299.0,299.0,299.0,299.0,299.0,229.0,264.0,179.96438911492115,207.8699832273501,245.6786365709074,272.75,0.25,0.125,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|reboot_B|noop|reboot_B,157.75,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,180.06149195597135,211.8807306216393,245.79719562243503,264.0,0.125,0.25,0.375,0.0,0.0,0.0,0.0,True
